A,0,1,2,3,4,5,6,7,8,9,label
126,-0.012030814,0.004042178,0.043892257,0.012905771,0.023519648,-0.006367146,0.034793522,0.049378216,0.031353675,-0.013997226,hold
127,0.002438835,0.003948995,0.000274322,0.046343938,0.049598973,0.029124118,-0.009191661,-0.033601943,-0.038825095,0.01994769,hold
128,0.05286935,-0.024536023,-0.001325716,0.02322667,0.05817572,0.000687447,-0.001205553,0.01772986,0.01340523,-0.044579517,hold
129,0.033862345,-0.010981547,0.04809969,0.041314792,0.07394813,0.016005447,-0.082992226,-0.040365037,-0.075657345,0.017749205,hold
130,0.07007733,-0.030195527,0.04951917,0.067518346,0.002563239,0.01259311,-0.035494052,-0.011780457,-0.002142034,0.010521641,hold
131,0.06129174,-0.008635931,0.034459755,0.04443882,0.05069656,-0.040585995,0.001596236,0.009769094,-0.020788431,0.012516852,hold
132,0.10612087,-0.026919678,-0.00176517,0.03717456,0.116514206,0.012155675,-0.020213906,0.051539022,-0.008567644,0.029186783,hold
133,0.100432515,-0.028269187,0.014630744,0.037146237,0.0577855,0.00755414,-0.09495231,-0.032406263,-0.016438732,-0.048933152,hold
134,0.10979514,-0.03077748,0.00209225,0.049128838,0.01913159,0.021406269,-0.03590729,0.0250145,-0.021524603,-0.042713962,hold
135,0.034492746,-0.033363644,0.098748714,0.059166536,0.027433675,-0.015793014,-0.03532546,-0.032707456,0.030487295,-0.0253593,hold
136,0.037718408,-0.03052856,0.017158331,-0.026849998,0.01701847,-0.047406815,0.04648273,-0.035548244,-0.031081948,-0.031060264,hold
137,-0.001572324,0.025657995,0.029658485,0.003562062,-0.004752199,0.017151717,-0.032506127,0.017638665,0.005231473,0.038122483,hold
138,0.02591068,-0.03807517,0.012079615,0.011998146,0.05827193,-0.027617633,0.001200225,-0.00702183,-0.02049365,0.041798893,hold
139,0.08359387,-0.032632634,-0.021717794,-0.004227908,0.020579766,0.033927385,-0.038510904,0.045298275,0.023208287,-0.039085586,hold
140,0.10184154,-0.07744183,0.20598523,0.11191038,0.094254,0.097066715,-0.030107006,-0.15186384,0.010733873,0.059491176,hold
141,0.095671535,-0.011695736,0.036894456,0.031534128,-0.013503507,0.008883035,-0.08953035,0.021114614,-0.03120061,-0.029557288,hold
142,0.13651076,-0.051781505,0.037386443,0.12382097,-0.005767947,0.04228413,0.020273421,-0.012456596,-0.06316416,0.01957472,hold
